,Sample,cluster,dataset,cyp51a,TR34,Itraconazole,Posaconazole,Voriconazole,overall_resistant
197,656-G-2-14-1,7,Environment,,,susceptible,susceptible,susceptible,susceptible
198,670-L-3-15-2,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
199,672-L-3-11-1,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
200,698-L-3-11-2,7,Environment,mutation,mutation,resistant,resistant,resistant,resistant
201,74-C-1-94L-2,7,Environment,,,susceptible,susceptible,susceptible,susceptible
202,766-E-1-65L-2,7,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
203,C11-NRZ-2017-040,7,Hospitals,,,resistant,resistant,resistant,resistant
204,C14-NRZ-2017-076,7,Hospitals,,,resistant,resistant,resistant,resistant
205,C15-NRZ-2017-096,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
206,C16-NRZ-2017-115,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
207,C18-NRZ-2017-195,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
208,C21-NRZ-2017-283,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
209,C26-NRZ-2017-434,7,Hospitals,,,resistant,susceptible,susceptible,resistant
210,C31-NRZ-2018-043,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
211,C36-NRZ-2018-236,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
212,C38-NRZ-2018-281,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
213,C3-NRZ-2016-032,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
214,C41-NRZ-2018-300,7,Hospitals,mutation,wt,resistant,resistant,susceptible,resistant
215,C44-NRZ-2017-339,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
216,C50-NRZ-2018-649,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
217,C5-NRZ-2016-071,7,Hospitals,,,susceptible,susceptible,susceptible,susceptible
218,110-C-1-76s-2,8,Environment,,,susceptible,susceptible,susceptible,susceptible
219,112-B-1-78L-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
220,121-B-1-67L-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
221,179-K-1-1L-5,8,Environment,,,susceptible,susceptible,susceptible,susceptible
222,197-L-2-7-2,8,Environment,,,susceptible,susceptible,susceptible,susceptible
223,2-D-2-15L-3,8,Environment,,,susceptible,susceptible,susceptible,susceptible
224,205-L-2-15-4,8,Environment,,,susceptible,susceptible,susceptible,susceptible
225,229-K-1-24L-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
226,24-C-1-93s-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
227,327-C-1-28L-2,8,Environment,,,susceptible,susceptible,susceptible,susceptible
228,336-E-1-49-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
229,347-E-1-46-2,8,Environment,,,susceptible,susceptible,susceptible,susceptible
230,383-C-1-27s-1,8,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
231,625-H-1-26-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
232,658-G-2-5-2,8,Environment,,,susceptible,susceptible,susceptible,susceptible
233,666-L-3-21-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
234,68-C-1-93L-3,8,Environment,,,susceptible,susceptible,susceptible,susceptible
235,703-E-1-66s-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
236,711-B-1-43-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
237,754-A-3-37s-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
238,78-C-1-99L-2,8,Environment,,,susceptible,susceptible,susceptible,susceptible
239,83-D-2-47L-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
240,875-E-1-65L-4,8,Environment,wt,wt,susceptible,susceptible,susceptible,susceptible
241,91-D-2-50s-1,8,Environment,,,susceptible,susceptible,susceptible,susceptible
242,C22-NRZ-2017-322,8,Hospitals,,,susceptible,susceptible,susceptible,susceptible
243,C23-NRZ-2017-346,8,Hospitals,,,resistant,susceptible,resistant,resistant
244,C33-NRZ-2017-101,8,Hospitals,,,susceptible,susceptible,susceptible,susceptible
245,C42-NRZ-2018-307,8,Hospitals,,,susceptible,susceptible,susceptible,susceptible
246,C8-NRZ-2016-141,8,Hospitals,,,susceptible,susceptible,susceptible,susceptible
247,240-F-1-13L-1,9,Environment,,,susceptible,susceptible,susceptible,susceptible
248,254-F-1-13L-3,9,Environment,,,susceptible,susceptible,susceptible,susceptible
249,592-I-1-49-3,9,Environment,,,susceptible,susceptible,susceptible,susceptible
250,815-A-2-34L-2,9,Environment,,,susceptible,susceptible,susceptible,susceptible
251,93-D-2-48L-1,9,Environment,,,susceptible,susceptible,susceptible,susceptible
